index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
2228764,6280,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0,estimated,Montclair-Boonton,NJ Transit,2019-05-11,00:04:00,2019-05-11,00:05:00,Sat
2228957,6216,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,12.0,estimated,Montclair-Boonton,NJ Transit,2019-05-10,09:50:00,2019-05-10,10:02:00,Fri
2228983,6234,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-10,13:42:00,2019-05-10,13:41:00,Fri
2229192,6202,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-10,06:04:00,2019-05-10,06:03:00,Fri
2229438,6258,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-10,19:03:00,2019-05-10,19:02:00,Fri
2229684,6204,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-10,06:46:00,2019-05-10,06:45:00,Fri
2232693,6214,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,4.000000000000001,estimated,Montclair-Boonton,NJ Transit,2019-05-10,08:59:00,2019-05-10,09:03:00,Fri
2232727,6222,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,4.000000000000001,estimated,Montclair-Boonton,NJ Transit,2019-05-10,10:56:00,2019-05-10,11:00:00,Fri
2233016,6278,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0000000000000002,estimated,Montclair-Boonton,NJ Transit,2019-05-10,23:16:00,2019-05-10,23:17:00,Fri
2233524,6248,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-10,17:10:00,2019-05-10,17:10:00,Fri
2233614,6270,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-10,21:00:00,2019-05-10,20:59:00,Fri
2233725,6252,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-10,17:57:00,2019-05-10,17:56:00,Fri
2234058,6264,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-10,20:16:00,2019-05-10,20:15:00,Fri
2234171,6230,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,5.0,estimated,Montclair-Boonton,NJ Transit,2019-05-10,12:44:00,2019-05-10,12:49:00,Fri
2234295,6206,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-10,07:40:00,2019-05-10,07:39:00,Fri
2234768,6238,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-10,14:49:00,2019-05-10,14:48:00,Fri
2234821,6200,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-10,05:32:00,2019-05-10,05:31:00,Fri
2247525,6238,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-13,14:49:00,2019-05-13,14:49:00,Mon
